Date,Interest Rates (MPR),Interest Rates (AL),Total Liquidity/M2+,Private Sector Credit,Exchange Rates ,Exchange Rates,Commodity Prices,Commodity Prices ,Commodity Prices,CPI,Inflation
2011-09-01,12.5,27.0,15851.20,7800.00,1.52,1.53,2821.00,110.00,1769.00,32.30,8.40
2011-10-01,12.5,27.0,16929.10,7900.00,1.55,1.56,2638.80,108.80,1673.70,32.60,8.60
2011-11-01,12.5,25.9,17393.30,8200.00,1.56,1.57,2520.30,110.60,1744.70,32.60,8.50
2011-12-01,12.5,25.9,18195.20,8600.00,1.58,1.58,2173.10,107.70,1658.50,32.80,8.60
2012-01-01,12.5,25.9,18097.40,8800.00,1.61,1.67,2266.10,111.60,1661.00,34.80,8.70
2012-02-01,13.5,25.9,18270.50,9000.00,1.67,1.68,2313.50,119.20,1742.50,35.00,9.30
2012-03-01,13.5,25.9,18500.20,9400.00,1.70,1.73,2315.00,124.60,1672.90,35.00,10.10
2012-04-01,14.5,25.9,19158.60,9300.00,1.76,1.79,2197.80,120.40,1647.70,35.60,10.70
2012-05-01,14.5,25.9,19831.40,9700.00,1.84,1.87,2207.80,109.40,1579.20,35.80,11.40
2012-06-01,15.0,24.7,20399.10,10000.00,1.89,1.90,2191.00,95.90,1602.90,36.10,11.90
2012-07-01,15.0,24.7,19905.30,10500.00,1.92,1.92,2270.00,102.80,1591.00,36.50,12.00
2012-08-01,15.0,24.5,20122.90,10800.00,1.93,1.92,2452.00,113.20,1631.00,36.40,11.70
2012-09-01,15.0,25.7,20411.90,11200.00,1.91,1.90,2577.20,113.00,1746.90,36.00,11.50
2012-10-01,15.0,25.7,20642.00,11400.00,1.89,1.88,2409.80,111.50,1745.00,36.40,11.80
2012-11-01,15.0,25.7,21959.10,11400.00,1.90,1.89,2440.20,109.50,1721.20,36.60,12.40
2012-12-01,15.0,25.7,22620.10,11500.00,1.88,1.88,2364.80,109.20,1678.80,36.90,12.60
2013-01-01,15.0,25.7,22199.70,11600.00,1.90,1.90,2233.70,112.30,1670.60,38.30,10.10
2013-02-01,15.0,25.7,22505.80,12000.00,1.90,1.91,2167.00,116.10,1626.60,38.60,10.40
2013-03-01,15.0,27.1,22990.70,12200.00,1.92,1.94,2119.60,109.50,1593.50,38.80,10.80
2013-04-01,16.0,27.1,23061.00,12200.00,1.95,1.97,2266.00,103.30,1491.00,39.40,10.90
2013-05-01,16.0,27.1,23213.50,12900.00,1.96,1.97,2315.40,103.30,1415.80,39.70,11.00
2013-06-01,16.0,27.4,23303.30,13400.00,1.99,1.99,2248.80,103.30,1337.50,40.30,11.60
2013-07-01,16.0,27.4,23302.70,13400.00,1.99,1.99,2269.20,107.40,1288.50,40.80,11.80
2013-08-01,16.0,27.4,23236.10,13700.00,1.99,2.00,2448.70,110.30,1351.00,40.50,11.50
2013-09-01,16.0,27.4,23998.00,14100.00,2.00,2.00,2573.40,111.20,1349.50,40.30,11.90
2013-10-01,16.0,25.6,24937.60,14300.00,2.00,2.03,2702.70,109.50,1316.70,41.20,13.10
2013-11-01,16.0,25.6,25843.70,14400.00,2.06,2.08,2732.00,107.80,1273.90,41.50,13.20
2013-12-01,16.0,25.6,26937.00,14800.00,2.11,2.16,2779.10,110.60,1223.00,41.90,13.50
2014-01-01,16.0,25.6,27754.30,15500.00,2.29,2.40,2746.30,107.30,1244.40,43.60,13.80
2014-02-01,18.0,25.6,28317.80,16100.00,2.44,2.52,2940.30,108.80,1305.80,44.10,14.00
2014-03-01,18.0,25.6,29214.10,17100.00,2.58,2.68,2976.40,107.70,1335.40,44.50,14.50
2014-04-01,18.0,27.0,29683.60,18000.00,2.74,2.79,2972.90,108.10,1298.20,45.20,14.70
2014-05-01,18.0,27.8,30371.50,18900.00,2.86,2.89,2953.90,109.20,1288.10,45.60,14.80
2014-06-01,18.0,27.8,30737.80,19500.00,2.98,3.00,3090.10,112.00,1280.20,46.40,15.00
2014-07-01,18.0,27.8,31501.40,19700.00,3.03,3.03,3124.00,108.20,1311.60,47.10,15.30
2014-08-01,18.0,27.8,31643.60,20400.00,3.06,3.13,3225.20,103.50,1295.50,47.00,15.90
2014-09-01,19.0,27.4,32052.40,20800.00,3.19,3.20,3182.00,98.60,1237.70,46.90,16.50
2014-10-01,19.0,26.4,33400.20,21000.00,3.20,3.20,3057.80,88.10,1226.70,48.10,16.90
2014-11-01,21.0,26.4,34743.60,21400.00,3.20,3.20,2852.70,79.50,1176.70,48.60,17.00
2014-12-01,21.0,29.0,36843.10,21000.00,3.20,3.20,2919.10,62.40,1200.70,49.00,17.00
